C:\Simcenter\Testxpress\ProjectData,20.01.26,12:57:22,,,,,,,,,,,,,,,,
,M1: CHRA_x : FFT(C1) Frequency[Hz],M1: CHRA_x : FFT(C1) [g],,M2: CHRA_y : FFT(C2) Frequency[Hz],M2: CHRA_y : FFT(C2) [g],,M3: CHRA_z : FFT(C3) Frequency[Hz],M3: CHRA_z : FFT(C3) [g],,M4: EG_Block_x : FFT(C13) Frequency[Hz],M4: EG_Block_x : FFT(C13) [g],,M5: EG_Block_y : FFT(C14) Frequency[Hz],M5: EG_Block_y : FFT(C14) [g],,M6: EG_Block_z : FFT(C15) Frequency[Hz],M6: EG_Block_z : FFT(C15) [g],
Unit,Hz,g,,Hz,g,,Hz,g,,Hz,g,,Hz,g,,Hz,g,
Sensor,,,,,,,,,,,,,,,,,,
PointId,,,,,,,,,,,,,,,,,,
PointDir,,'',,,'',,,'',,,'',,,'',,,'',
Info1,,,,,,,,,,,,,,,,,,
Info2,,,,,,,,,,,,,,,,,,
Info3,,,,,,,,,,,,,,,,,,
Info4,,,,,,,,,,,,,,,,,,
Z Axis,,,,,,,,,,,,,,,,,,
,115.625,0.1554451,-0.2858479,115.625,0.0277491,0.3391177,115.625,-0.2571033,-1.5515558,115.625,-0.0809053,0.1590379,115.625,0.0797426,-0.1883126,115.625,0.5788882,0.2590726
,117.1875,0.3729721,-0.0739508,117.1875,0.1461303,0.2757463,117.1875,-0.9364579,-1.2400861,117.1875,-0.198704,0.0284933,117.1875,0.2205272,-0.0779564,117.1875,0.6317998,0.0047432
,118.75,0.3910345,-0.2353112,118.75,0.2482138,0.1888268,118.75,-1.3409276,-0.8096567,118.75,-0.1813727,0.121815,118.75,0.196212,-0.1845801,118.75,0.6125202,-0.1914029
,120.3125,0.5218812,-0.0452005,120.3125,0.2296247,0.1350619,120.3125,-1.4372011,-0.5840247,120.3125,0.2280553,0.0629976,120.3125,0.2805333,-0.0966563,120.3125,0.5838555,-0.2562963
,121.875,0.1453728,-0.5904583,121.875,-0.1741505,0.206399,121.875,-1.5048416,-0.4195849,121.875,-0.0292848,0.2644759,121.875,-0.0030754,-0.3369459,121.875,0.5711614,-0.27423
,123.4375,-0.0790087,0.7017246,123.4375,0.0120781,0.3053554,123.4375,-1.4207226,-0.5996987,123.4375,-0.0102618,-0.2993037,123.4375,0.0531042,0.3750186,123.4375,0.5904834,-0.2054949
,125,-0.665531,0.479875,125,-0.2137395,-0.2602632,125,-1.4054412,-0.6531806,125,0.2292665,-0.2265935,125,-0.2760558,0.3254519,125,0.5963061,-0.1052027
,126.5625,0.4400462,-0.850384,126.5625,-0.2846625,-0.2079681,126.5625,-1.1459461,-1.0664022,126.5625,-0.1101579,0.3285879,126.5625,0.120305,-0.465087,126.5625,0.5719236,0.1515089
,128.125,0.7753487,-0.7381642,128.125,0.3864649,-0.0102021,128.125,-0.4431634,-1.5187761,128.125,-0.2555671,0.2806577,128.125,0.3039808,-0.4378949,128.125,0.3524829,0.4833966
,129.6875,0.6630962,0.8710601,129.6875,0.2571452,-0.3134812,129.6875,0.5573383,-1.4681014,129.6875,-0.2258822,-0.2714668,129.6875,0.3825347,0.3492119,129.6875,-0.1353596,0.6097171
